GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1667354173,SushiGo,3,GAME_OVER,63,0,2,348,SushigoAgentBKP,50.0,60.0,RandomPlayer,2,SushigoAgentBKP,2,1,1,RandomPlayer,RandomPlayer,SushigoAgentBKP,0
1991378407,SushiGo,3,GAME_OVER,64,0,2,349,Basic MCTS,31.0,73.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
-815366425,SushiGo,3,GAME_OVER,60,0,2,350,RandomPlayer,38.0,39.0,SushigoAgentBKP,2,RandomPlayer,2,1,1,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,0
-2028093600,SushiGo,3,GAME_OVER,61,0,2,351,Basic MCTS,52.0,70.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1757712663,SushiGo,3,GAME_OVER,60,0,2,352,SushigoAgentBKP,53.0,43.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
1380769061,SushiGo,3,GAME_OVER,61,0,2,353,SushigoAgentBKP,74.0,38.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
261797254,SushiGo,3,GAME_OVER,60,0,2,354,RandomPlayer,41.0,33.0,SushigoAgentBKP,1,RandomPlayer,1,2,2,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,1
1699756054,SushiGo,3,GAME_OVER,63,0,2,355,RandomPlayer,64.0,47.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
469452937,SushiGo,3,GAME_OVER,62,0,2,356,SushigoAgentBKP,65.0,40.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
-3560875,SushiGo,3,GAME_OVER,61,0,2,357,Basic MCTS,35.0,62.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
1396075339,SushiGo,3,GAME_OVER,61,0,2,358,RandomPlayer,68.0,58.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
-590039087,SushiGo,3,GAME_OVER,60,0,2,359,RandomPlayer,54.0,39.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
2049713108,SushiGo,3,GAME_OVER,60,0,2,360,SushigoAgentBKP,55.0,42.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
1324681671,SushiGo,3,GAME_OVER,60,0,2,361,Basic MCTS,34.0,59.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
-2092523444,SushiGo,3,GAME_OVER,63,0,2,362,Basic MCTS,42.0,71.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
59114165,SushiGo,3,GAME_OVER,60,0,2,363,SushigoAgentBKP,50.0,46.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
-718186581,SushiGo,3,GAME_OVER,62,0,2,364,Basic MCTS,37.0,99.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
-1745731678,SushiGo,3,GAME_OVER,60,0,2,365,Basic MCTS,50.0,63.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
343420611,SushiGo,3,GAME_OVER,60,0,2,366,RandomPlayer,70.0,43.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
-2028987222,SushiGo,3,GAME_OVER,63,0,2,367,RandomPlayer,45.0,44.0,SushigoAgentBKP,1,RandomPlayer,1,2,2,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,1
-2032389348,SushiGo,3,GAME_OVER,64,0,2,368,Basic MCTS,50.0,64.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
279811612,SushiGo,3,GAME_OVER,60,0,2,369,SushigoAgentBKP,73.0,34.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
